sec,mV,BPM
0.423,0.017752108,0
0.424,0.02732818,0
0.425,0.036265847,0
0.426,0.043607503,0
0.427,0.048714741,0
0.428,0.050949158,0
0.429,0.050310753,0
0.43,0.046799527,0
0.431,0.041053883,0
0.432,0.033712228,0
0.433,0.025093763,0
0.434,0.016794501,0
0.435,0.009133643,0
0.436,0.003707202,0
0.437,0.000195976,0
0.438,-0.000123227,0
0.439,0.002430392,0
0.44,0.007537631,0
0.441,0.015517691,0
0.442,0.025093763,0
0.443,0.03530824,0
0.444,0.045203515,0
0.445,0.054779587,0
0.446,0.062440445,0
0.447,0.067866886,0
0.448,0.070739707,0
0.449,0.070739707,0
0.45,0.067547683,0
0.451,0.062121242,0
0.452,0.054460385,0
0.453,0.046161122,0
0.454,0.037861859,0
0.455,0.030520204,0
0.456,0.024774561,0
0.457,0.021263334,0
0.458,0.020944132,0
0.459,0.023178549,0
0.46,0.028285787,0
0.461,0.035627443,0
0.462,0.044884312,0
0.463,0.054779587,0
0.464,0.064355659,0
0.465,0.073293326,0
0.466,0.080315779,0
0.467,0.085103815,0
0.468,0.08701903,0
0.469,0.086380625,0
0.47,0.083507803,0
0.471,0.078400565,0
0.472,0.072016517,0
0.473,0.065632469,0
0.474,0.059248421,0
0.475,0.054141182,0
0.476,0.050629956,0
0.477,0.049353146,0
0.478,0.05126836,0
0.479,0.055737194,0
0.48,0.063078849,0
0.481,0.072654922,0
0.482,0.083827006,0
0.483,0.095637495,0
0.484,0.107128781,0
0.485,0.117343258,0
0.486,0.125642521,0
0.487,0.131068962,0
0.488,0.133941784,0
0.489,0.133303379,0
0.49,0.130111355,0
0.491,0.124684914,0
0.492,0.117343258,0
0.493,0.109363198,0
0.494,0.101383138,0
0.495,0.094679888,0
0.496,0.089891852,0
0.497,0.087338232,0
0.498,0.087976637,0
0.499,0.091487864,0
0.5,0.097871912,0
0.501,0.106490377,0
0.502,0.116704854,0
0.503,0.127876938,0
0.504,0.139049022,0
0.505,0.148944297,0
0.506,0.156605154,0
0.507,0.162031595,0
0.508,0.16394681,0
0.509,0.162989203,0
0.51,0.159158774,0
0.511,0.15341313,0
0.512,0.146071475,0
0.513,0.137772212,0
0.514,0.129792152,0
0.515,0.122131295,0
0.516,0.116385651,0
0.517,0.112874425,0
0.518,0.111916818,0
0.519,0.113832032,0
0.52,0.118300866,0
0.521,0.125004116,0
0.522,0.132984176,0
0.523,0.141283439,0
0.524,0.149263499,0
0.525,0.156285952,0
0.526,0.16139319,0
0.527,0.16394681,0
0.528,0.163627607,0
0.529,0.160435583,0
0.53,0.15468994,0
0.531,0.14670988,0
0.532,0.137133808,0
0.533,0.126600128,0
0.534,0.116385651,0
0.535,0.107447984,0
0.536,0.100106329,0
0.537,0.095318292,0
0.538,0.092764673,0
0.539,0.093083876,0
0.54,0.095318292,0
0.541,0.099148721,0
0.542,0.10425596,0
0.543,0.109682401,0
0.544,0.114151234,0
0.545,0.117343258,0
0.546,0.118300866,0
0.547,0.116385651,0
0.548,0.111597615,0
0.549,0.103617555,0
0.55,0.092764673,0
0.551,0.079996577,0
0.552,0.065632469,0
0.553,0.050949158,0
0.554,0.03658505,0
0.555,0.023816954,0
0.556,0.012964072,0
0.557,0.005303214,0
0.558,0.000515178,0
0.559,-0.001719239,0
0.56,-0.001080834,0
0.561,0.001791988,0
0.562,0.006260821,0
0.563,0.010729655,0
0.564,0.015198489,0
0.565,0.01807131,0
0.566,0.018709715,0
0.567,0.016794501,0
0.568,0.012644869,0
0.569,0.006260821,0
0.57,-0.002996049,0
0.571,-0.013529728,0
0.572,-0.025340217,0
0.573,-0.037789111,0
0.574,-0.0495996,0
0.575,-0.060133279,0
0.576,-0.068751744,0
0.577,-0.074497387,0
0.578,-0.076731804,0
0.579,-0.076093399,0
0.58,-0.072262971,0
0.581,-0.066198125,0
0.582,-0.058537267,0
0.583,-0.050238005,0
0.584,-0.042577147,0
0.585,-0.036193099,0
0.586,-0.032043467,0
0.587,-0.030766658,0
0.588,-0.03236267,0
0.589,-0.037150706,0
0.59,-0.044492361,0
0.591,-0.053749231,0
0.592,-0.063963708,0
0.593,-0.074497387,0
0.594,-0.084392662,0
0.595,-0.092691925,0
0.596,-0.099075973,0
0.597,-0.102906402,0
0.598,-0.104183211,0
0.599,-0.101948794,0
0.6,-0.097479961,0
0.601,-0.090457508,0
0.602,-0.082158245,0
0.603,-0.07353978,0
0.604,-0.065240518,0
0.605,-0.058218065,0
0.606,-0.053110826,0
0.607,-0.050876409,0
0.608,-0.051195612,0
0.609,-0.054387636,0
0.61,-0.060133279,0
0.611,-0.067474935,0
0.612,-0.075774197,0
0.613,-0.084392662,0
0.614,-0.092691925,0
0.615,-0.10003358,0
0.616,-0.104821616,0
0.617,-0.107375235,0
0.618,-0.107056033,0
0.619,-0.104183211,0
0.62,-0.098437568,0
0.621,-0.09077671,0
0.622,-0.081839043,0
0.623,-0.072901375,0
0.624,-0.064602113,0
0.625,-0.05757966,0
0.626,-0.052472421,0
0.627,-0.049918802,0
0.628,-0.050238005,0
0.629,-0.053430029,0
0.63,-0.059175672,0
0.631,-0.066517327,0
0.632,-0.07481659,0
0.633,-0.083435055,0
0.634,-0.091095913,0
0.635,-0.097479961,0
0.636,-0.10131039,0
0.637,-0.102587199,0
0.638,-0.100991187,0
0.639,-0.096522353,0
0.64,-0.089499901,0
0.641,-0.080881436,0
0.642,-0.071305363,0
0.643,-0.061729291,0
0.644,-0.052791624,0
0.645,-0.045769171,0
0.646,-0.041300337,0
0.647,-0.039385123,0
0.648,-0.04034273,0
0.649,-0.043853956,0
0.65,-0.049918802,0
0.651,-0.057898862,0
0.652,-0.067155732,0
0.653,-0.076731804,0
0.654,-0.085350269,0
0.655,-0.092372722,0
0.656,-0.096841556,0
0.657,-0.098437568,0
0.658,-0.097160758,0
0.659,-0.093011127,0
0.66,-0.086627079,0
0.661,-0.078008614,0
0.662,-0.068432542,0
0.663,-0.058537267,0
0.664,-0.049280397,0
0.665,-0.04161954,0
0.666,-0.035873896,0
0.667,-0.033320277,0
0.668,-0.033958682,0
0.669,-0.037469908,0
0.67,-0.043534754,0
0.671,-0.051834017,0
0.672,-0.061090886,0
0.673,-0.070347756,0
0.674,-0.078647019,0
0.675,-0.085350269,0
0.676,-0.089499901,0
0.677,-0.091415115,0
0.678,-0.090457508,0
0.679,-0.086627079,0
0.68,-0.080243031,0
0.681,-0.071943768,0
0.682,-0.062686898,0
0.683,-0.053110826,0
0.684,-0.044492361,0
0.685,-0.037150706,0
0.686,-0.031724265,0
0.687,-0.029489848,0
0.688,-0.029809051,0
0.689,-0.033001075,0
0.69,-0.038427516,0
0.691,-0.045769171,0
0.692,-0.054068433,0
0.693,-0.062367696,0
0.694,-0.070347756,0
0.695,-0.076731804,0
0.696,-0.080881436,0
0.697,-0.082477448,0
0.698,-0.081200638,0
0.699,-0.077051007,0
0.7,-0.070666959,0
0.701,-0.062367696,0
0.702,-0.053110826,0
0.703,-0.043853956,0
0.704,-0.035235492,0
0.705,-0.028532241,0
0.706,-0.023744205,0
0.707,-0.02182899,0
0.708,-0.0231058,0
0.709,-0.026936229,0
0.71,-0.033001075,0
0.711,-0.040981135,0
0.712,-0.049918802,0
0.713,-0.05885647,0
0.714,-0.067155732,0
0.715,-0.07353978,0
0.716,-0.077370209,0
0.717,-0.078647019,0
0.718,-0.076731804,0
0.719,-0.072262971,0
0.72,-0.06555972,0
0.721,-0.056941255,0
0.722,-0.047365183,0
0.723,-0.037469908,0
0.724,-0.028532241,0
0.725,-0.021509788,0
0.726,-0.017040954,0
0.727,-0.015764145,0
0.728,-0.017040954,0
0.729,-0.020871383,0
0.73,-0.026617027,0
0.731,-0.034277884,0
0.732,-0.042896349,0
0.733,-0.051834017,0
0.734,-0.060133279,0
0.735,-0.06683653,0
0.736,-0.071624566,0
0.737,-0.07353978,0
0.738,-0.072901375,0
0.739,-0.069390149,0
0.74,-0.063644506,0
0.741,-0.05630285,0
0.742,-0.048003588,0
0.743,-0.039385123,0
0.744,-0.031724265,0
0.745,-0.025340217,0
0.746,-0.021509788,0
0.747,-0.020552181,0
0.748,-0.022148193,0
0.749,-0.025978622,0
0.75,-0.032043467,0
0.751,-0.03906592,0
0.752,-0.046726778,0
0.753,-0.054068433,0
0.754,-0.060452482,0
0.755,-0.064921315,0
0.756,-0.067474935,0
0.757,-0.067474935,0
0.758,-0.064602113,0
0.759,-0.059494874,0
0.76,-0.052153219,0
0.761,-0.043215552,0
0.762,-0.033958682,0
0.763,-0.024701812,0
0.764,-0.01640255,0
0.765,-0.010018501,0
0.766,-0.006188073,0
0.767,-0.005230465,0
0.768,-0.00714568,0
0.769,-0.011614513,0
0.77,-0.018317764,0
0.771,-0.026617027,0
0.772,-0.035554694,0
0.773,-0.044173159,0
0.774,-0.051514814,0
0.775,-0.057260458,0
0.776,-0.060133279,0
0.777,-0.060452482,0
0.778,-0.05757966,0
0.779,-0.052153219,0
0.78,-0.044492361,0
0.781,-0.035554694,0
0.782,-0.025659419,0
0.783,-0.016083347,0
0.784,-0.008103287,0
0.785,-0.001719239,0
