sec,mV,BPM
0.539,-0.157492605,0
0.54,-0.153662522,0
0.541,-0.153024175,0
0.542,-0.15525839,0
0.543,-0.160365168,0
0.544,-0.166429466,0
0.545,-0.173451285,0
0.546,-0.179515584,0
0.547,-0.183984014,0
0.548,-0.185899056,0
0.549,-0.184303188,0
0.55,-0.178877237,0
0.551,-0.168982855,0
0.552,-0.154939216,0
0.553,-0.137384668,0
0.554,-0.116638384,0
0.555,-0.093657884,0
0.556,-0.06940069,0
0.557,-0.044824323,0
0.558,-0.020886302,0
0.559,0.00145585,0
0.56,0.021244614,0
0.561,0.039118335,0
0.562,0.054119495,0
0.563,0.066886439,0
0.564,0.077419168,0
0.565,0.086356029,0
0.566,0.094016195,0
0.567,0.101038015,0
0.568,0.108059834,0
0.569,0.11476248,0
0.57,0.121784299,0
0.571,0.128806118,0
0.572,0.134870417,0
0.573,0.139338847,0
0.574,0.141573063,0
0.575,0.140615542,0
0.576,0.134870417,0
0.577,0.124018514,0
0.578,0.107421487,0
0.579,0.084760161,0
0.58,0.056034537,0
0.581,0.021882961,0
0.582,-0.016098698,0
0.583,-0.057591267,0
0.584,-0.100041356,0
0.585,-0.142491446,0
0.586,-0.183026493,0
0.587,-0.220369805,0
0.588,-0.252606339,0
0.589,-0.278778575,0
0.59,-0.298567338,0
0.591,-0.311653456,0
0.592,-0.318356102,0
0.593,-0.319632796,0
0.594,-0.31644106,0
0.595,-0.310057588,0
0.596,-0.301759074,0
0.597,-0.293460561,0
0.598,-0.286119568,0
0.599,-0.280374443,0
0.6,-0.277182707,0
0.601,-0.27654436,0
0.602,-0.278778575,0
0.603,-0.282927832,0
0.604,-0.288034609,0
0.605,-0.293460561,0
0.606,-0.297928991,0
0.607,-0.300801554,0
0.608,-0.301439901,0
0.609,-0.298567338,0
0.61,-0.29250304,0
0.611,-0.282608658,0
0.612,-0.26952254,0
0.613,-0.25356386,0
0.614,-0.235690138,0
0.615,-0.217178069,0
0.616,-0.199304347,0
0.617,-0.183026493,0
0.618,-0.169302028,0
0.619,-0.159407647,0
0.62,-0.153343348,0
0.621,-0.151109133,0
0.622,-0.152705001,0
0.623,-0.157173431,0
0.624,-0.163556904,0
0.625,-0.17121707,0
0.626,-0.178877237,0
0.627,-0.185260709,0
0.628,-0.190048313,0
0.629,-0.191644181,0
0.63,-0.190367486,0
0.631,-0.185899056,0
0.632,-0.178558063,0
0.633,-0.168663681,0
0.634,-0.157492605,0
0.635,-0.145364008,0
0.636,-0.134192932,0
0.637,-0.124617724,0
0.638,-0.117276731,0
0.639,-0.113127474,0
0.64,-0.112489127,0
