sec,mV,BPM
0.707,-0.228991352,0
0.708,-0.228672149,0
0.709,-0.229948959,0
0.71,-0.232502578,0
0.711,-0.236013805,0
0.712,-0.240482638,0
0.713,-0.245589877,0
0.714,-0.250058711,0
0.715,-0.254208342,0
0.716,-0.257081164,0
0.717,-0.258677176,0
0.718,-0.258677176,0
0.719,-0.257081164,0
0.72,-0.25388914,0
0.721,-0.249739508,0
0.722,-0.24463227,0
0.723,-0.239525031,0
0.724,-0.234417793,0
0.725,-0.229948959,0
0.726,-0.22611853,0
0.727,-0.223884113,0
0.728,-0.222607304,0
0.729,-0.222926506,0
0.73,-0.224203316,0
0.731,-0.227076137,0
0.732,-0.230587364,0
0.733,-0.234736995,0
0.734,-0.238567424,0
0.735,-0.242078651,0
0.736,-0.24463227,0
0.737,-0.245909079,0
0.738,-0.245270675,0
0.739,-0.24335546,0
0.74,-0.239844234,0
0.741,-0.235694602,0
0.742,-0.230587364,0
0.743,-0.225480125,0
0.744,-0.220692089,0
0.745,-0.216542458,0
0.746,-0.213988839,0
0.747,-0.212712029,0
0.748,-0.213350434,0
0.749,-0.214946446,0
0.75,-0.217819268,0
0.751,-0.221649697,0
0.752,-0.225799328,0
0.753,-0.230268162,0
0.754,-0.234417793,0
0.755,-0.238248222,0
0.756,-0.240801841,0
0.757,-0.242397853,0
0.758,-0.242397853,0
0.759,-0.241121043,0
0.76,-0.238886626,0
0.761,-0.2353754,0
0.762,-0.231544971,0
0.763,-0.22739534,0
0.764,-0.223245709,0
0.765,-0.219734482,0
0.766,-0.21686166,0
0.767,-0.215265648,0
0.768,-0.214946446,0
0.769,-0.215904053,0
0.77,-0.21813847,0
0.771,-0.221011292,0
0.772,-0.224203316,0
0.773,-0.227714542,0
0.774,-0.230906566,0
0.775,-0.233140983,0
0.776,-0.234736995,0
0.777,-0.234736995,0
0.778,-0.233779388,0
0.779,-0.231225769,0
0.78,-0.22739534,0
0.781,-0.222926506,0
0.782,-0.217819268,0
0.783,-0.212712029,0
0.784,-0.208243196,0
0.785,-0.204731969,0
0.786,-0.20217835,0
0.787,-0.201220743,0
0.788,-0.201539945,0
0.789,-0.203135957,0
0.79,-0.205689576,0
0.791,-0.209200803,0
0.792,-0.213031232,0
0.793,-0.21686166,0
0.794,-0.220053685,0
0.795,-0.222288101,0
0.796,-0.223564911,0
0.797,-0.223245709,0
0.798,-0.221330494,0
0.799,-0.21813847,0
0.8,-0.213669636,0
0.801,-0.208562398,0
0.802,-0.202497552,0
0.803,-0.196751909,0
0.804,-0.19164467,0
0.805,-0.187175837,0
0.806,-0.184303015,0
