Time,"CH 1, ECG","CH40, Heart Rate"
sec,mV,BPM
0.804,0.086732668,0
0.805,0.092798243,0
0.806,0.096629133,0
0.807,0.096948374,0
0.808,0.093436725,0
0.809,0.085455704,0
0.81,0.073643794,0
0.811,0.058639476,0
0.812,0.041081231,157.480315
0.813,0.022884505,157.480315
0.814,0.005007019,157.480315
0.815,-0.011593503,157.480315
0.816,-0.025640099,157.480315
0.817,-0.036175046,157.480315
0.818,-0.042879103,157.480315
0.819,-0.045113789,157.480315
0.82,-0.043517585,157.480315
0.821,-0.038728973,157.480315
0.822,-0.031386434,157.480315
0.823,-0.022766932,157.480315
0.824,-0.01414743,157.480315
0.825,-0.006804891,157.480315
0.826,-0.002016279,157.480315
0.827,-0.000420075,157.480315
0.828,-0.002974001,157.480315
0.829,-0.009358818,157.480315
0.83,-0.019893765,157.480315
0.831,-0.03362112,157.480315
0.832,-0.049583161,157.480315
0.833,-0.066502924,157.480315
0.834,-0.083422687,157.480315
0.835,-0.098746246,157.480315
0.836,-0.111515879,157.480315
0.837,-0.120773862,157.480315
0.838,-0.125881715,157.480315
0.839,-0.126839438,157.480315
0.84,-0.123327789,157.480315
0.841,-0.11598525,157.480315
0.842,-0.106088785,157.480315
0.843,-0.094915356,157.480315
0.844,-0.083422687,157.480315
0.845,-0.073206981,157.480315
0.846,-0.06522596,157.480315
0.847,-0.060437348,157.480315
0.848,-0.059798867,157.480315
0.849,-0.062991275,157.480315
0.85,-0.070014573,157.480315
0.851,-0.080230279,157.480315
0.852,-0.092680671,157.480315
0.853,-0.106727266,157.480315
0.854,-0.120773862,157.480315
0.855,-0.133862736,157.480315
0.856,-0.144397683,157.480315
0.857,-0.151740221,157.480315
0.858,-0.154613389,157.480315
0.859,-0.152697944,157.480315
0.86,-0.146632368,157.480315
0.861,-0.136735903,157.480315
0.862,-0.124285511,157.480315
0.863,-0.110558156,157.480315
0.864,-0.09651156,157.480315
0.865,-0.083741928,157.480315
0.866,-0.073206981,157.480315
0.867,-0.066183683,157.480315
0.868,-0.062672034,157.480315
0.869,-0.063310516,157.480315
0.87,-0.068418369,157.480315
0.871,-0.077037871,157.480315
0.872,-0.08853054,157.480315
0.873,-0.101619413,157.480315
0.874,-0.115027528,157.480315
0.875,-0.12779716,157.480315
0.876,-0.138332107,157.480315
0.877,-0.145993887,157.480315
0.878,-0.149824777,157.480315
0.879,-0.149824777,157.480315
0.88,-0.145674646,157.480315
0.881,-0.138332107,157.480315
0.882,-0.128116401,157.480315
0.883,-0.116304491,157.480315
0.884,-0.104492581,157.480315
0.885,-0.093957634,157.480315
0.886,-0.085338132,157.480315
0.887,-0.079911038,157.480315
0.888,-0.077995593,157.480315
0.889,-0.079911038,157.480315
0.89,-0.085338132,157.480315
0.891,-0.093319152,157.480315
0.892,-0.102577136,157.480315
0.893,-0.11215436,157.480315
0.894,-0.120454622,157.480315
0.895,-0.126200956,157.480315
0.896,-0.128754883,157.480315
0.897,-0.127158679,157.480315
0.898,-0.120135381,157.480315
0.899,-0.108323471,157.480315
0.9,-0.091084467,157.480315
0.901,-0.069695332,157.480315
0.902,-0.044794548,157.480315
0.903,-0.017659079,157.480315
0.904,0.010114872,157.480315
0.905,0.037888823,157.480315
0.906,0.06406657,157.480315
0.907,0.08769039,157.480315
0.908,0.108441043,157.480315
0.909,0.125680047,157.480315
0.91,0.139088161,157.480315
0.911,0.148665386,157.480315
0.912,0.155688684,157.480315
0.913,0.160477296,157.480315
0.914,0.164627427,157.480315
0.915,0.168777557,157.480315
0.916,0.173246929,157.480315
0.917,0.178993263,157.480315
0.918,0.186016561,157.480315
0.919,0.194316822,157.480315
0.92,0.202936324,157.480315
0.921,0.211236586,157.480315
0.922,0.217940643,157.480315
0.923,0.222090773,157.480315
0.924,0.222410014,157.480315
0.925,0.217621402,157.480315
0.926,0.206447973,157.480315
0.927,0.188570488,157.480315
0.928,0.163031223,157.480315
0.929,0.1307879,157.480315
0.93,0.091840521,157.480315
0.931,0.048104529,157.480315
