sec,mV,BPM
0.49,-0.074805725,0
0.491,-0.065542726,0
0.492,-0.057876795,0
0.493,-0.052446761,0
0.494,-0.049572037,0
0.495,-0.049572037,0
0.496,-0.052127347,0
0.497,-0.057557382,0
0.498,-0.064584485,0
0.499,-0.072569829,0
0.5,-0.081194001,0
0.501,-0.089179345,0
0.502,-0.095887034,0
0.503,-0.100997655,0
0.504,-0.103872379,0
0.505,-0.104191792,0
0.506,-0.101955896,0
0.507,-0.097803517,0
0.508,-0.091734655,0
0.509,-0.084388138,0
0.51,-0.076722208,0
0.511,-0.069375691,0
0.512,-0.063306829,0
0.513,-0.058835037,0
0.514,-0.05659914,0
0.515,-0.05659914,0
0.516,-0.05915445,0
0.517,-0.063626243,0
0.518,-0.070014519,0
0.519,-0.077361035,0
0.52,-0.085026966,0
0.521,-0.092054069,0
0.522,-0.097803517,0
0.523,-0.101636482,0
0.524,-0.103552965,0
0.525,-0.102914137,0
0.526,-0.100039413,0
0.527,-0.095248207,0
0.528,-0.089179345,0
0.529,-0.082152242,0
0.53,-0.075125139,0
0.531,-0.068736864,0
0.532,-0.063626243,0
0.533,-0.060432106,0
0.534,-0.05915445,0
0.535,-0.060432106,0
0.536,-0.063626243,0
0.537,-0.06841745,0
0.538,-0.074486312,0
0.539,-0.080555173,0
0.54,-0.086304621,0
0.541,-0.091095828,0
0.542,-0.094289965,0
0.543,-0.095567621,0
0.544,-0.094609379,0
0.545,-0.091734655,0
0.546,-0.086943449,0
0.547,-0.080555173,0
0.548,-0.073208656,0
0.549,-0.065542726,0
0.55,-0.058196209,0
0.551,-0.052127347,0
0.552,-0.047655555,0
0.553,-0.045100244,0
0.554,-0.044780831,0
0.555,-0.047016727,0
0.556,-0.051169106,0
0.557,-0.057237968,0
0.558,-0.064584485,0
0.559,-0.071931001,0
0.56,-0.078638691,0
0.561,-0.084388138,0
0.562,-0.088221104,0
0.563,-0.089818173,0
0.564,-0.088540518,0
0.565,-0.085026966,0
0.566,-0.078958104,0
0.567,-0.07097276,0
0.568,-0.062348588,0
0.569,-0.053405003,0
0.57,-0.045419658,0
0.571,-0.038711969,0
0.572,-0.033920762,0
0.573,-0.031684866,0
0.574,-0.031684866,0
0.575,-0.033920762,0
0.576,-0.038392555,0
0.577,-0.044461417,0
0.578,-0.05148852,0
0.579,-0.058196209,0
0.58,-0.063945657,0
0.581,-0.068098036,0
0.582,-0.070333932,0
0.583,-0.070333932,0
0.584,-0.067778622,0
0.585,-0.062668002,0
0.586,-0.055960313,0
0.587,-0.047655555,0
0.588,-0.038392555,0
0.589,-0.02944897,0
0.59,-0.021463625,0
0.591,-0.014755936,0
0.592,-0.010284143,0
0.593,-0.008367661,0
0.594,-0.009325902,0
0.595,-0.012839453,0
0.596,-0.018269488,0
0.597,-0.025296591,0
0.598,-0.033281935,0
0.599,-0.040628452,0
0.6,-0.047336141,0
0.601,-0.052766175,0
0.602,-0.055960313,0
0.603,-0.056918554,0
0.604,-0.055321485,0
0.605,-0.05148852,0
0.606,-0.045419658,0
0.607,-0.037753728,0
0.608,-0.02944897,0
0.609,-0.020824798,0
0.61,-0.013478281,0
0.611,-0.007409419,0
0.612,-0.00325704,0
0.613,-0.001659971,0
0.614,-0.002298799,0
0.615,-0.005173523,0
0.616,-0.009645316,0
0.617,-0.01507535,0
0.618,-0.021144211,0
0.619,-0.026574246,0
0.62,-0.031046038,0
0.621,-0.034240176,0
0.622,-0.035517831,0
0.623,-0.034240176,0
0.624,-0.030726625,0
0.625,-0.024977177,0
0.626,-0.017311246,0
0.627,-0.008367661,0
0.628,0.000575925,0
0.629,0.008880683,0
0.63,0.0162272,0
0.631,0.021657234,0
0.632,0.024851372,0
0.633,0.025170786,0
0.634,0.023254303,0
0.635,0.019421338,0
0.636,0.01367189,0
0.637,0.007603028,0
0.638,0.00185358,0
0.639,-0.00325704,0
0.64,-0.007409419,0
0.641,-0.009645316,0
0.642,-0.009964729,0
0.643,-0.007728833,0
0.644,-0.00325704,0
0.645,0.003450649,0
0.646,0.011435993,0
0.647,0.020698993,0
0.648,0.029961992,0
0.649,0.038905578,0
0.65,0.046252095,0
0.651,0.051682129,0
0.652,0.054556853,0
0.653,0.054556853,0
0.654,0.052320956,0
0.655,0.048168577,0
0.656,0.042419129,0
0.657,0.036030854,0
0.658,0.029961992,0
0.659,0.024851372,0
0.66,0.021018407,0
0.661,0.019101924,0
0.662,0.019740751,0
0.663,0.022934889,0
0.664,0.028364923,0
0.665,0.03571144,0
0.666,0.044655026,0
0.667,0.054556853,0
0.668,0.06445868,0
0.669,0.073402265,0
0.67,0.081068196,0
0.671,0.086178816,0
0.672,0.08905354,0
0.673,0.089372954,0
0.674,0.087137057,0
0.675,0.082984678,0
0.676,0.077554644,0
0.677,0.07212461,0
0.678,0.06701399,0
0.679,0.063181025,0
0.68,0.060945128,0
0.681,0.060625714,0
0.682,0.062222783,0
0.683,0.066055748,0
0.684,0.07212461,0
0.685,0.079471127,0
0.686,0.088095299,0
0.687,0.097038884,0
0.688,0.105024229,0
0.689,0.112370746,0
0.69,0.11780078,0
0.691,0.121314331,0
0.692,0.122591986,0
0.693,0.120994917,0
0.694,0.116842538,0
0.695,0.11109309,0
0.696,0.103746574,0
0.697,0.096080643,0
0.698,0.089372954,0
0.699,0.083304092,0
0.7,0.079471127,0
0.701,0.077874058,0
0.702,0.078832299,0
0.703,0.082026437,0
0.704,0.087137057,0
0.705,0.093525333,0
0.706,0.10087185,0
0.707,0.108218366,0
0.708,0.115245469,0
0.709,0.120675504,0
0.71,0.124189055,0
0.711,0.125147296,0
0.712,0.123230814,0
0.713,0.118759021,0
0.714,0.111731918,0
0.715,0.103107746,0
0.716,0.093525333,0
0.717,0.083623506,0
0.718,0.074360507,0
0.719,0.066375162,0
0.72,0.059986887,0
0.721,0.055834508,0
0.722,0.054237439,0
0.723,0.054556853,0
0.724,0.056792749,0
0.725,0.060306301,0
0.726,0.06445868,0
0.727,0.068611059,0
0.728,0.071485783,0
0.729,0.073082851,0
0.73,0.072763438,0
0.731,0.069888714,0
0.732,0.06445868,0
0.733,0.057112163,169.0140845
0.734,0.04752975,169.0140845
0.735,0.036669681,169.0140845
0.736,0.025170786,169.0140845
0.737,0.01367189,169.0140845
0.738,0.003131235,169.0140845
0.739,-0.006451178,169.0140845
0.74,-0.014117108,169.0140845
0.741,-0.019547143,169.0140845
0.742,-0.022421867,169.0140845
0.743,-0.023380108,169.0140845
0.744,-0.022421867,169.0140845
0.745,-0.020505384,169.0140845
0.746,-0.017950074,169.0140845
0.747,-0.015394764,169.0140845
0.748,-0.014117108,169.0140845
0.749,-0.014117108,169.0140845
0.75,-0.016353005,169.0140845
0.751,-0.020505384,169.0140845
0.752,-0.027213073,169.0140845
0.753,-0.035837245,169.0140845
0.754,-0.046697313,169.0140845
0.755,-0.058196209,169.0140845
0.756,-0.070014519,169.0140845
0.757,-0.081194001,169.0140845
0.758,-0.090457,169.0140845
0.759,-0.097803517,169.0140845
0.76,-0.102914137,169.0140845
0.761,-0.105469447,169.0140845
0.762,-0.105469447,169.0140845
0.763,-0.103233551,169.0140845
0.764,-0.099081172,169.0140845
0.765,-0.093970552,169.0140845
0.766,-0.08790169,169.0140845
0.767,-0.082471656,169.0140845
0.768,-0.077680449,169.0140845
0.769,-0.074486312,169.0140845
0.77,-0.07352807,169.0140845
0.771,-0.074805725,169.0140845
0.772,-0.078638691,169.0140845
0.773,-0.084388138,169.0140845
0.774,-0.092054069,169.0140845
0.775,-0.100358827,169.0140845
0.776,-0.108663585,169.0140845
0.777,-0.116010102,169.0140845
0.778,-0.122398377,169.0140845
0.779,-0.12687017,169.0140845
0.78,-0.129106067,169.0140845
0.781,-0.12942548,169.0140845
0.782,-0.127508998,169.0140845
0.783,-0.123356619,169.0140845
0.784,-0.118245998,169.0140845
0.785,-0.111857723,169.0140845
0.786,-0.105788861,169.0140845
0.787,-0.100039413,169.0140845
0.788,-0.095567621,169.0140845
0.789,-0.092692897,169.0140845
0.79,-0.092373483,169.0140845
0.791,-0.093970552,169.0140845
0.792,-0.098122931,169.0140845
0.793,-0.103872379,169.0140845
0.794,-0.110899482,169.0140845
0.795,-0.118884826,169.0140845
0.796,-0.126550756,169.0140845
0.797,-0.133258446,169.0140845
0.798,-0.138369066,169.0140845
0.799,-0.14124379,169.0140845
0.8,-0.141563204,169.0140845
0.801,-0.139646721,169.0140845
0.802,-0.135174928,169.0140845
0.803,-0.129106067,169.0140845
0.804,-0.121440136,169.0140845
0.805,-0.113774206,169.0140845
0.806,-0.106108275,169.0140845
0.807,-0.099400586,169.0140845
0.808,-0.094609379,169.0140845
0.809,-0.092373483,169.0140845
0.81,-0.092373483,169.0140845
0.811,-0.094609379,169.0140845
0.812,-0.099400586,169.0140845
0.813,-0.105788861,169.0140845
0.814,-0.113135378,169.0140845
0.815,-0.121120722,169.0140845
0.816,-0.128786653,169.0140845
0.817,-0.135174928,169.0140845
0.818,-0.140285549,169.0140845
0.819,-0.142840859,169.0140845
0.82,-0.143160273,169.0140845
0.821,-0.140924376,169.0140845
0.822,-0.13613317,169.0140845
0.823,-0.129106067,169.0140845
